study,year,location,state,lat,lon,cultivar,planting_date,flowering,index
61,2021,Cruz Alta,RS,-28.6394,-53.6062,TBIO Toruk,2021-06-16,2021-09-10,12.8
62,2021,Passo Fundo,RS,-28.2612,-52.4083,BRS Parrudo,2021-06-23,2021-09-18,23.1
63,2021,Palmeira,PR,-25.4342,-49.9999,TBIO Audaz,2021-05-27,2021-09-02,35.5
64,2021,Santa Bárbara do Sul,RS,-28.3559,-53.2532,TBIO Sinuelo,2021-06-15,2021-09-12,4.3
65,2021,Guarapuava,PR,-25.3935,-51.4562,TBIO Sonic,2021-07-06,2021-09-24,18.2
66,2021,Passo Fundo,RS,-28.2612,-52.4083,TBIO Toruk,2021-05-08,2021-08-24,6.4
67,2022,Guarapuava,PR,-25.3935,-51.4562,TBIO Toruk,2022-07-05,2022-10-15,11.9
68,2022,Palmeira,PR,-25.4342,-49.9999,FPS Luminus,2022-06-21,2022-09-18,1.3
69,2022,Ponta Grossa,PR,-25.0945,-50.1633,TBIO Toruk,2022-06-15,2022-09-08,33.4
70,2022,Cruz Alta,RS,-28.6394,-53.6062,TBIO Toruk,2022-07-01,2022-09-23,0.4
71,2022,Jaboticaba,RS,-27.63,-53.2819,TBIO Ponteiro,2022-06-12,2022-08-27,1
72,2022,Passo Fundo,RS,-28.2612,-52.4083,TBIO Aton,2022-07-22,2022-10-21,7.5
73,2022,Passo Fundo,RS,-28.2612,-52.4083,BRS Belajoia,2022-06-20,2022-09-24,6
74,2022,Passo Fundo,RS,-28.2612,-52.4083,TBIO Toruk,2022-07-18,2022-10-19,6.8
75,2022,Passo Fundo,RS,-28.2612,-52.4083,TBIO Toruk,2022-07-08,2022-10-12,17.6
76,2022,Santa Bárbara do Sul,RS,-28.3559,-53.2532,TBIO Astro,2022-06-15,2022-09-13,1.9
77,2023,Campo Mourão,PR,-24.046,-52.3838,TBIO Toruk,2023-05-18,2023-07-22,14.5
78,2023,Guarapuava,PR,-25.3935,-51.4562,BRS Atobá,2023-06-20,2023-09-15,16.9
79,2023,Palmeira,PR,-25.4342,-49.9999,TBIO Ponteiro,2023-06-14,2023-09-08,1.2
80,2023,Ponta Grossa,PR,-25.0945,-50.1633,BRS Belajoia,2023-06-12,2023-09-04,29.6
